,ID,Name,Age,Nationality,Overall,Potential,Value,Preferred Foot,Body Type,Position,HeightCM,WeightKG,Grade
1,209658,L. Goretzka,27,Germany,87,88,91.0,Right,Unique,SUB,189,82,5
2,212198,Bruno Fernandes,27,Portugal,86,87,78.5,Right,Unique,LCM,179,69,5
3,224334,M. Acuña,30,Argentina,85,85,46.5,Left,Stocky (170-185),LB,172,69,5
4,192985,K. De Bruyne,31,Belgium,91,91,107.5,Right,Unique,RCM,181,70,5
5,224232,N. Barella,25,Italy,86,89,89.5,Right,Normal (170-),RCM,172,68,5
6,212622,J. Kimmich,27,Germany,89,90,105.5,Right,Normal (170-185),RDM,177,75,5
7,197445,D. Alaba,30,Austria,86,86,55.5,Left,Normal (170-185),LCB,180,78,5
8,187961,22 Paulinho,32,Brazil,83,83,28.5,Right,Normal (170-185),LCM,183,80,4
9,208333,E. Can,28,Germany,82,82,30.5,Right,Stocky (185+),SUB,186,86,4
10,210514,João Cancelo,28,Portugal,88,88,82.5,Right,Unique,LB,182,74,5
11,228251,L. Pellegrini,26,Italy,84,87,55.0,Right,Lean (185+),RCM,186,77,4
12,177003,L. Modrić,36,Croatia,88,88,29.0,Right,Lean (170-185),RCM,172,66,5
13,223848,S. Milinković-Savić,27,Serbia,86,87,77.5,Right,Normal (185+),RCM,191,76,5
14,225193,Merino,26,Spain,83,86,47.0,Left,Normal (185+),LCM,189,83,4
15,226161,Marcos Llorente,27,Spain,84,85,48.0,Right,Lean (170-185),RCM,184,74,4
16,212616,R. De Paul,28,Argentina,84,84,42.0,Right,Normal (170-185),SUB,180,70,4
17,181458,I. Perišić,33,Croatia,84,84,26.5,Right,Lean (185+),SUB,186,80,4
18,228702,F. de Jong,25,Netherlands,87,92,116.5,Right,Unique,RCM,180,74,5
19,194765,A. Griezmann,31,France,83,83,30.5,Left,Unique,RS,176,73,4
20,193082,J. Cuadrado,34,Colombia,83,83,13.5,Right,Lean (170-185),RB,179,72,4
21,208574,F. Kostić,29,Serbia,85,85,53.0,Left,Normal (170-185),LM,184,84,5
22,231281,T. Alexander-Arnold,23,England,87,90,100.5,Right,Unique,RB,180,69,5
23,176580,L. Suárez,35,Uruguay,84,84,18.0,Right,Unique,LS,182,86,4
24,235212,A. Hakimi,23,Morocco,84,87,53.5,Right,Lean (170-185),RWB,181,73,4
25,216352,M. Brozović,29,Croatia,86,86,58.0,Right,Lean (170-185),CDM,181,68,5
26,209331,M. Salah,30,Egypt,90,90,115.5,Left,Unique,RW,175,71,5
27,241096,S. Tonali,22,Italy,84,90,62.5,Right,Unique,RCM,181,79,4
28,189509,Thiago,31,Spain,86,86,55.5,Right,Normal (170-185),LCM,174,70,5
29,238074,R. James,22,England,84,88,57.0,Right,Stocky (170-185),RWB,178,87,4
30,189332,Jordi Alba,33,Spain,85,85,28.0,Left,Unique,LB,170,68,5
31,213565,T. Lemar,26,France,83,86,47.0,Left,Lean (170-185),SUB,171,63,4
32,230767,Renato Sanches,24,Portugal,80,86,33.0,Right,Normal (170-185),SUB,176,70,4
33,190286,Canales,31,Spain,84,84,35.0,Left,Lean (170-185),RM,176,65,4
34,226754,I. Bennacer,24,Algeria,82,86,40.0,Left,Lean (170-185),LCM,175,70,4
35,212462,Alex Telles,29,Brazil,80,80,18.5,Left,Unique,SUB,181,71,4
36,231969,R. Malinovskyi,29,Ukraine,82,82,30.5,Left,Stocky (170-185),LF,181,79,4
37,238744,W. McKennie,23,United States,80,85,31.5,Right,Normal (170-185),LCM,183,84,4
38,200145,Casemiro,30,Brazil,89,89,86.0,Right,Unique,CDM,185,84,5
39,220651,Angeliño,25,Spain,83,85,42.0,Left,Normal (170-185),LWB,171,69,4
40,230938,F. Kessié,25,Côte d'Ivoire,84,86,47.5,Right,Normal (170-185),SUB,183,88,4
41,200458,L. Digne,28,France,82,82,27.5,Left,Unique,LB,178,74,4
